x,y,z
0.1,0.1,9.9
0.1,0.1,9.9
0.1,0.1,9.9
0.1,0.1,9.9
0.1,0.1,9.9
0.1,0.05625000000000208,9.9
0.1,0.06470588235294916,9.9
0.1,0.017647058823528808,9.9
0.1,0.0,9.9
0.1,0.02352941176470404,9.9
0.1,0.05624999999999098,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.9
0.1,0.0,9.894117647058817
0.12352941176471204,0.0,9.8
0.2,0.0,9.8
0.2,0.0,9.8
0.2,0.0,9.8
0.2,0.0,9.8
