timestamp_ms,x,y,z
1779258420938,-0.1000,0.1000,10.0000
1779258420955,0,0.1000,9.9000
1779258420972,0,0.1000,9.8000
1779258420989,-0.1000,0.1000,10.2000
1779258421005,-0.1000,0,10.0000
1779258421022,0,0.1000,9.6000
1779258421038,0,0.1000,9.7000
1779258421055,-0.1000,0,10.0000
1779258421072,0,0,10.0000
1779258421088,0,0,10.0000
1779258421105,0,0,9.8000
1779258421122,0,0,9.8000
1779258421138,0,0,9.8000
1779258421155,0,0,10.0000
1779258421172,0,0,9.9000
1779258421189,0,0,9.9000
1779258421205,0,0,9.9000
1779258421222,0,0,9.8000
1779258421238,0,0,9.8000
1779258421255,0,0,9.8000
1779258421272,0,0,10.0000
1779258421289,0,0,9.8000
1779258421305,0,0,9.7000
1779258421322,0,0,9.9000
1779258421338,0,0,9.9000
1779258421355,0,0,10.0000
1779258421372,0,0,9.9000
1779258421388,0,0.1000,10.0000
1779258421405,0,0.1000,9.9000
1779258421422,0,0.1000,9.8000
1779258421438,0.1000,0.1000,10.0000
1779258421455,0.1000,0.1000,10.0000
1779258421472,0,0.1000,9.9000
1779258421489,0.1000,0.1000,9.8000
1779258421505,0.1000,0.1000,9.6000
1779258421522,0.1000,0.1000,9.6000
1779258421538,0.1000,0.1000,9.6000
1779258421555,0,0.1000,9.9000
1779258421572,0,0.1000,9.8000
1779258421588,0,0,9.8000
1779258421605,0.1000,0.1000,9.4000
1779258421622,0.1000,0,10.0000
1779258421638,0.1000,0,10.2000
1779258421655,0.1000,0,10.2000
1779258421672,0.1000,0.1000,9.8000
1779258421688,0.1000,0,10.0000
1779258421705,0.1000,0.1000,9.7000
1779258421722,0,0,10.1000
1779258421738,0.1000,0,9.9000
1779258421755,0,0,10.0000
1779258421772,0,0,9.9000
1779258421789,0,0,9.8000
1779258421805,0,0,9.7000
1779258421822,0.1000,0,9.9000
1779258421839,0,0,10.0000
1779258421855,0,0,10.0000
1779258421872,0.1000,0,9.5000
1779258421889,0.1000,0,9.6000
1779258421905,0,0,9.9000
1779258421922,0,0,9.9000
1779258421939,0,0,9.8000
1779258421955,0,0,9.7000
1779258421972,0,0,9.9000
1779258421989,0,0,9.9000
1779258422005,0,0,9.9000
1779258422022,0,0.1000,10.0000
1779258422038,0,0.1000,9.9000
1779258422055,0,0.1000,9.9000
1779258422072,0,0.1000,9.9000
1779258422089,-0.1000,0.1000,10.0000
1779258422105,0,0.1000,9.7000
1779258422122,0,0,9.9000
1779258422138,0,0,9.7000
1779258422155,-0.1000,0,9.8000
1779258422172,-0.1000,0,9.8000
1779258422188,0,0,9.6000
1779258422205,0,0,9.9000
1779258422222,-0.1000,0,10.2000
1779258422238,0,0,9.8000
1779258422255,0,0,9.8000
1779258422272,-0.1000,0,10.0000
1779258422289,0,0,10.1000
1779258422305,0,0,9.9000
1779258422322,0,0.1000,9.9000
1779258422338,0,0,9.8000
1779258422355,-0.1000,0,9.9000
1779258422372,0,-0.1000,9.7000
1779258422389,0.1000,-0.1000,9.9000
1779258422405,0,0,10.1000
1779258422422,-0.1000,0,10.0000
1779258422438,0,-0.1000,9.9000
1779258422455,0,-0.1000,9.9000
1779258422472,0,0,10.0000
1779258422488,0,0,9.9000
1779258422505,-0.1000,0,9.8000
1779258422522,0,0,9.7000
1779258422538,0.1000,0,9.8000
1779258422555,0,0,9.8000
1779258422572,0,0,9.8000
1779258422589,0,0,9.6000
1779258422605,-0.1000,0,9.8000
1779258422622,0,0,10.0000
1779258422638,0.1000,0,10.1000
1779258422655,0.1000,0.1000,9.9000
1779258422672,0,0,9.9000
1779258422689,0,0,9.9000
1779258422705,0,0,10.1000
1779258422722,0,0,9.9000
1779258422738,0,0,9.9000
1779258422755,0,0,9.7000
1779258422772,0,0,9.7000
1779258422789,0,0,9.8000
1779258422805,0,0,9.9000
1779258422822,0,0,9.8000
1779258422838,0,0,9.8000
1779258422855,0,-0.1000,10.0000
1779258422872,0,-0.1000,10.0000
1779258422889,0,-0.1000,9.7000
1779258422905,0,-0.1000,9.8000
1779258422922,-0.1000,-0.1000,9.9000
1779258422938,-0.1000,-0.1000,10.1000
1779258422955,0,-0.1000,9.8000
1779258422972,0,-0.1000,9.8000
1779258422988,0,-0.1000,9.8000
1779258423005,-0.1000,0,10.1000
1779258423022,-0.1000,0,10.0000
1779258423038,0,0,9.9000
1779258423055,0,-0.1000,9.9000
1779258423072,-0.1000,0,9.8000
1779258423088,-0.1000,0,9.8000
1779258423105,-0.1000,0,9.9000
1779258423122,-0.1000,0,9.9000
1779258423139,0,0,9.9000
1779258423155,-0.1000,0,9.7000
1779258423172,-0.1000,0,9.7000
1779258423188,0,0,9.8000
1779258423205,0,0,9.8000
1779258423222,-0.1000,0.1000,10.0000
1779258423238,0.1000,-0.1000,9.9000
1779258423255,0.5000,-0.1000,9.7000
1779258423272,-0.2000,-0.1000,9.7000
1779258423288,-0.3000,0,9.8000
1779258423305,-0.1000,-0.2000,10.2000
1779258423322,-0.2000,-0.3000,10.2000
1779258423338,-0.2000,-0.1000,10.0000
1779258423355,0.1000,-0.1000,10.0000
1779258423372,0.1000,-0.1000,10.0000
1779258423389,-0.1000,0,9.6000
1779258423405,0.2000,-0.2000,10.3000
1779258423422,0.2000,-0.1000,9.7000
1779258423438,-0.1000,-0.2000,10.1000
1779258423455,-0.1000,-0.1000,9.7000
1779258423472,0,-0.1000,9.9000
1779258423488,0,-0.1000,9.9000
1779258423505,0,-0.2000,10.3000
1779258423522,0,-0.1000,10.0000
1779258423539,0,-0.1000,9.7000
1779258423555,-0.1000,0,9.7000
1779258423572,-0.1000,0,9.7000
1779258423588,0,-0.1000,10.1000
1779258423605,0,-0.1000,9.8000
1779258423622,0.1000,-0.1000,9.7000
1779258423638,0,-0.1000,9.7000
1779258423655,0.1000,-0.1000,9.7000
1779258423672,0.1000,0,9.8000
1779258423688,0.1000,0,9.8000
1779258423705,0.1000,-0.1000,9.8000
1779258423722,0.1000,-0.1000,9.6000
1779258423738,0.1000,-0.1000,9.6000
1779258423755,-0.1000,-0.1000,9.7000
1779258423772,-0.1000,-0.1000,10.0000
1779258423789,0.1000,-0.2000,10.0000
1779258423805,0,-0.2000,10.0000
1779258423822,0.1000,-0.1000,9.3000
1779258423838,0.1000,-0.2000,9.6000
1779258423855,0,-0.1000,9.9000
1779258423872,0,-0.2000,9.9000
1779258423888,0,-0.2000,9.9000
1779258423905,0.1000,-0.2000,9.9000
1779258423922,-0.2000,-0.1000,9.7000
1779258423938,-0.1000,-0.1000,9.7000
1779258423955,0,-0.2000,10.0000
1779258423972,0,-0.2000,9.8000
1779258423989,0,-0.1000,9.9000
1779258424005,0,-0.1000,10.0000
1779258424022,0,-0.1000,9.7000
1779258424038,0,-0.1000,9.8000
1779258424055,-0.1000,-0.1000,10.2000
1779258424072,0,-0.1000,9.7000
1779258424089,0,-0.1000,9.7000
1779258424105,-0.1000,0,9.7000
1779258424122,0,0,9.9000
1779258424138,0,0,9.7000
1779258424155,0,-0.1000,9.7000
1779258424172,0,-0.1000,9.7000
1779258424188,0,-0.1000,9.9000
1779258424205,0,-0.1000,9.8000
1779258424222,-0.1000,-0.1000,9.8000
1779258424238,-0.1000,-0.1000,9.8000
1779258424255,-0.1000,-0.1000,10.0000
1779258424272,-0.1000,-0.1000,10.0000
1779258424289,-0.1000,-0.1000,9.9000
1779258424305,0,-0.1000,9.9000
1779258424322,-0.1000,-0.1000,10.0000
1779258424338,0,-0.1000,10.0000
1779258424355,0,-0.1000,9.9000
1779258424372,-0.1000,-0.1000,9.9000
1779258424389,0,-0.1000,9.9000
1779258424405,0,-0.1000,9.9000
1779258424422,-0.1000,-0.2000,9.9000
1779258424438,-0.1000,-0.1000,9.9000
1779258424455,-0.1000,-0.1000,9.8000
1779258424472,0,-0.1000,9.8000
1779258424488,-0.1000,-0.1000,9.8000
1779258424505,0,-0.1000,9.7000
1779258424522,0,-0.1000,9.7000
1779258424538,-0.1000,-0.1000,9.8000
1779258424555,-0.1000,-0.1000,9.8000
1779258424572,-0.1000,-0.1000,9.8000
1779258424588,-0.1000,-0.1000,9.9000
1779258424605,-0.1000,-0.1000,9.9000
1779258424622,-0.1000,-0.1000,10.0000
1779258424638,-0.1000,-0.1000,9.9000
1779258424655,-0.1000,-0.1000,9.9000
1779258424672,-0.1000,-0.1000,10.0000
1779258424688,-0.1000,-0.1000,10.0000
1779258424705,-0.1000,-0.1000,9.7000
1779258424722,0,-0.1000,9.8000
1779258424738,-0.1000,-0.1000,10.1000
1779258424755,-0.1000,-0.1000,10.0000
1779258424772,-0.1000,-0.1000,9.5000
1779258424788,0,-0.1000,9.7000
1779258424805,0,-0.1000,9.7000
1779258424822,-0.1000,-0.1000,9.9000
1779258424838,0,-0.1000,9.6000
1779258424855,-0.1000,-0.1000,9.7000
1779258424872,-0.1000,-0.1000,9.8000
1779258424888,-0.1000,-0.1000,9.9000
1779258424905,-0.1000,-0.1000,9.8000
1779258424922,0,-0.1000,9.9000
1779258424938,-0.1000,-0.1000,9.9000
1779258424955,0,-0.1000,10.0000
1779258424972,0,-0.1000,9.9000
1779258424988,0,-0.1000,9.9000
1779258425005,0,-0.1000,9.9000
1779258425022,0,-0.1000,10.1000
1779258425038,0,-0.1000,9.9000
1779258425055,0,-0.1000,9.8000
1779258425072,0,0,9.8000
1779258425089,0,0,9.9000
1779258425105,0,0,9.9000
1779258425122,0,0,9.9000
1779258425138,0,0,9.8000
1779258425155,0,0,9.7000
1779258425172,0,0,9.6000
1779258425188,0,0,9.8000
1779258425205,0,0,9.8000
1779258425222,0,0,9.8000
1779258425238,0,-0.1000,9.7000
1779258425255,0.1000,-0.1000,9.6000
1779258425272,0.1000,-0.1000,9.8000
1779258425289,0,-0.1000,10.1000
1779258425305,0,-0.1000,9.8000
1779258425322,0,-0.1000,9.8000
1779258425338,0,-0.1000,9.8000
1779258425355,-0.1000,-0.1000,10.0000
1779258425372,0,-0.1000,10.0000
1779258425388,0,-0.1000,9.8000
1779258425405,-0.1000,0,9.8000
1779258425422,-0.1000,-0.1000,9.9000
1779258425438,0,-0.1000,9.9000
1779258425455,-0.1000,-0.1000,9.9000
1779258425472,-0.1000,0,9.9000
1779258425488,-0.1000,-0.1000,10.0000
1779258425505,-0.1000,-0.1000,9.9000
1779258425522,-0.1000,-0.1000,9.9000
1779258425538,-0.1000,0,9.8000
1779258425555,-0.1000,-0.1000,9.9000
1779258425572,-0.1000,0,9.9000
1779258425588,-0.1000,-0.1000,9.9000
1779258425605,-0.1000,-0.1000,9.9000
1779258425622,-0.1000,-0.1000,9.8000
1779258425638,0,0,9.8000
1779258425655,-0.1000,0,9.9000
1779258425672,-0.1000,-0.1000,10.0000
1779258425688,0,0,10.0000
1779258425705,0,0,9.8000
1779258425722,0,0,9.8000
1779258425738,0,0,9.9000
1779258425755,-0.1000,0,9.9000
